@relation GenevaExtended_2014_Acoustic_Parameters_Functionals_personality

@attribute name string
@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute F0linearHz_sma3nz_amean numeric
@attribute F0linearHz_sma3nz_stddevNorm numeric
@attribute F0linearHz_sma3nz_percentile20.0 numeric
@attribute F0linearHz_sma3nz_percentile50.0 numeric
@attribute F0linearHz_sma3nz_percentile80.0 numeric
@attribute F0linearHz_sma3nz_pctlrange0-2 numeric
@attribute F0linearHz_sma3nz_meanRisingSlope numeric
@attribute F0linearHz_sma3nz_stddevRisingSlope numeric
@attribute F0linearHz_sma3nz_meanFallingSlope numeric
@attribute F0linearHz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute mfcc1UV_sma3nz_amean numeric
@attribute mfcc2UV_sma3nz_amean numeric
@attribute mfcc3UV_sma3nz_amean numeric
@attribute mfcc4UV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute age {youth, adult, senior}
@attribute gender {m,f}
@attribute ewe numeric
@attribute likeability {L,NL}

@data

'devel_001',3.562476e+01,1.118328e-01,3.035343e+01,3.555644e+01,3.966177e+01,9.308342e+00,2.058359e+02,1.711852e+02,-3.178666e+01,4.024469e+01,2.211687e+02,2.147273e-01,1.587756e+02,2.172262e+02,2.718202e+02,1.130446e+02,1.686236e+03,2.002487e+03,-2.183192e+02,5.089672e+02,4.033471e-01,1.043594e+00,9.744176e-02,1.994533e-01,6.253324e-01,5.278906e-01,6.625096e+00,2.003499e+00,7.766267e+00,4.350611e+00,1.308278e-01,1.332734e+00,-4.020886e+00,-2.511881e+00,-9.219558e+00,-1.093312e+00,-1.899119e+01,-5.867537e-01,-2.736628e+01,-6.452574e-01,2.805455e-02,1.316734e+00,1.232127e+00,8.241561e-01,7.718431e+00,3.180901e-01,9.700015e+00,6.957787e-01,1.717168e+01,6.477455e-01,7.761947e+02,2.156377e-01,1.475761e+03,1.609343e-01,-1.347413e+02,-6.876840e-01,1.706201e+03,9.549372e-02,1.049836e+03,2.923804e-01,-1.323641e+02,-6.855981e-01,2.604839e+03,6.410429e-02,9.058115e+02,1.720653e-01,-1.316329e+02,-6.972579e-01,-9.014550e+00,-6.986136e-01,1.582112e+01,5.623759e-01,1.060216e-01,1.949082e-01,-1.742701e-02,-6.988444e-01,2.754091e-01,7.635202e-01,4.184114e+00,2.029315e+00,-3.535049e+00,-3.754458e+00,-2.330416e+01,-6.449994e-01,-4.334661e+01,-3.791893e-01,2.477132e+00,2.633795e+00,9.971476e-02,9.097467e-03,5.588515e-02,-8.306835e+00,-1.214351e+01,-1.672744e+01,-1.866183e+01,2.994012e+00,1.519757e+00,2.220000e-01,1.016661e-01,3.450000e-01,3.972720e-01,-2.224343e+01,senior,f,0.79,L
'devel_002',3.587612e+01,2.294140e-01,3.035653e+01,3.294570e+01,3.902636e+01,8.669830e+00,1.848018e+02,1.407061e+02,1.023831e+02,1.053713e+02,2.548525e+02,7.509549e-01,1.588005e+02,1.844182e+02,2.620335e+02,1.032329e+02,4.668721e+03,3.487530e+03,8.103585e+02,3.941372e+02,4.758897e-01,1.191261e+00,7.882507e-02,1.897599e-01,7.415123e-01,6.626872e-01,8.562099e+00,5.124923e+00,8.525984e+00,5.450472e+00,2.062372e-01,1.547455e+00,-6.781294e-01,-2.204784e+01,-1.570956e+01,-8.218247e-01,1.179048e+00,9.009824e+00,-2.621139e+01,-8.138607e-01,4.141020e-02,1.758037e+00,1.649690e+00,1.002780e+00,7.350965e+00,4.086242e-01,4.025631e+00,2.645039e+00,1.647609e+01,7.905386e-01,7.245692e+02,3.403566e-01,1.515626e+03,1.599874e-01,-1.312659e+02,-7.365801e-01,1.621500e+03,1.136965e-01,1.204366e+03,1.550476e-01,-1.259439e+02,-7.561769e-01,2.513739e+03,8.069799e-02,1.072748e+03,2.396127e-01,-1.268096e+02,-7.262022e-01,-7.058860e+00,-1.370603e+00,1.886489e+01,5.233092e-01,8.252775e-02,2.298924e-01,-8.090928e-03,-2.167207e+00,4.720277e-01,8.254896e-01,1.096641e+01,1.123491e+00,-1.975014e+01,-8.440951e-01,-2.019554e+00,-6.344917e+00,-4.484927e+01,-3.695979e-01,6.098334e+00,4.514993e+00,5.737924e-02,2.338513e-02,5.176688e-02,-7.362211e+00,-1.317350e+01,3.133993e+00,-1.546627e+01,2.288330e+00,2.083333e+00,1.700000e-01,1.215639e-01,2.600000e-01,2.713301e-01,-1.828442e+01,senior,f,-0.88,NL
'devel_003',2.653678e+01,3.390187e-01,2.244727e+01,2.448083e+01,2.621541e+01,3.768145e+00,4.605270e+01,0.000000e+00,-2.988449e+01,0.000000e+00,1.597879e+02,1.083911e+00,1.005801e+02,1.131020e+02,1.250313e+02,2.445120e+01,9.169905e+02,0.000000e+00,-1.316506e+03,0.000000e+00,3.822741e-01,1.194132e+00,3.403309e-02,1.603576e-01,8.790450e-01,8.450118e-01,7.132298e+00,4.687912e+00,8.499329e+00,4.756953e+00,1.582391e-01,1.274521e+00,1.310026e+01,1.121839e+00,-3.366146e+00,-4.544955e+00,-1.461315e+01,-8.851494e-01,-5.763513e+00,-2.102033e+00,2.925958e-02,1.236344e+00,1.838474e+00,1.034463e+00,4.288639e+00,4.292168e-01,-2.568669e+00,-1.097824e+00,1.891362e+01,7.290034e-01,6.861232e+02,2.399400e-01,1.443579e+03,1.797477e-01,-1.466042e+02,-5.970330e-01,1.492745e+03,1.033703e-01,1.104458e+03,2.093547e-01,-1.455057e+02,-5.892749e-01,2.573712e+03,5.677579e-02,8.163585e+02,3.770042e-01,-1.491917e+02,-5.348143e-01,-7.463634e+00,-1.769309e+00,2.315783e+01,7.347175e-01,6.629837e-02,2.287652e-01,-2.149993e-02,-8.893408e-01,3.385497e-01,4.521360e-01,2.367737e+01,7.139243e-01,-1.042000e+01,-1.802805e+00,-2.387314e+01,-7.678331e-01,-1.171232e+00,-1.025369e+01,-4.819177e+00,1.293175e+01,6.771343e-02,6.596713e-03,9.494293e-02,9.243727e+00,-6.750024e-01,-1.123964e+01,-7.347023e+00,3.000000e+00,2.372881e+00,1.057143e-01,4.776644e-02,2.575000e-01,3.515235e-01,-2.109177e+01,youth,m,1.16,L
'devel_004',2.557161e+01,4.746487e-02,2.446531e+01,2.539558e+01,2.657012e+01,2.104805e+00,8.044103e+01,0.000000e+00,-8.846188e-02,1.249924e+01,1.207620e+02,7.216975e-02,1.130122e+02,1.192392e+02,1.276058e+02,1.459354e+01,5.880945e+02,0.000000e+00,-6.958454e+00,8.743187e+01,1.638441e-01,1.104932e+00,5.023993e-02,5.585845e-02,2.554557e-01,2.052158e-01,6.314915e+00,4.942311e+00,4.547842e+00,1.957262e+00,5.382362e-02,1.536835e+00,1.106810e+01,9.865603e-01,-1.085879e+01,-7.285270e-01,-1.118376e+01,-9.142800e-01,-1.529661e+01,-8.828667e-01,2.203880e-02,6.912807e-01,2.261487e+00,8.108259e-01,4.565334e+00,4.604876e-01,-3.588346e+00,-7.222355e-01,2.703238e+01,2.343675e-01,5.710823e+02,2.853096e-01,1.557672e+03,1.198906e-01,-1.606548e+02,-5.018975e-01,1.457397e+03,1.034631e-01,1.112228e+03,1.631421e-01,-1.618855e+02,-4.766969e-01,2.513880e+03,5.037748e-02,8.771594e+02,1.501998e-01,-1.645144e+02,-4.378300e-01,-1.365625e+01,-2.891681e-01,2.945430e+01,1.551409e-01,9.050196e-02,1.430917e-01,-1.630094e-02,-7.884396e-01,1.501489e-01,7.380198e-01,2.707406e+01,1.714062e-01,-1.440128e+01,-7.767696e-01,-1.151711e+01,-1.110967e+00,-2.659181e+01,-5.495000e-01,-4.533090e+00,1.393612e+01,6.426075e-02,7.078062e-03,3.312770e-02,7.484766e+00,-1.002540e+01,-1.122729e+01,-1.278115e+01,3.493450e+00,1.785714e+00,9.500000e-02,3.354102e-02,3.540000e-01,4.736074e-01,-3.096611e+01,youth,m,0.94,L
'devel_005',2.992080e+01,3.350923e-01,2.290071e+01,2.744868e+01,3.029872e+01,7.398012e+00,1.046903e+02,5.953366e+01,2.276403e+02,0.000000e+00,1.916994e+02,8.088129e-01,1.032496e+02,1.342483e+02,1.582710e+02,5.502138e+01,1.675777e+03,1.096986e+03,3.487474e+03,0.000000e+00,1.776383e-01,1.186884e+00,2.159220e-02,7.204268e-02,3.197334e-01,2.981412e-01,3.669830e+00,2.565903e+00,3.849485e+00,1.889389e+00,5.784624e-02,1.534275e+00,-1.394317e+00,-8.381551e+00,-3.853199e+00,-3.924674e+00,-6.065805e+00,-1.910811e+00,-2.184897e+01,-1.046222e+00,2.663282e-02,6.701892e-01,2.194975e+00,6.890416e-01,4.805311e+00,5.252759e-01,-7.173743e+00,-1.785404e+00,8.780182e+00,9.764699e-01,8.252930e+02,2.782535e-01,1.576127e+03,3.308851e-01,-1.732387e+02,-3.998837e-01,1.696532e+03,1.678426e-01,1.107609e+03,2.549323e-01,-1.723923e+02,-3.932252e-01,2.569941e+03,8.790125e-02,1.155010e+03,5.261363e-01,-1.731434e+02,-3.804646e-01,-1.167946e+01,-3.820934e-01,2.061420e+01,2.715631e-01,9.586101e-02,1.228168e-01,-1.638567e-02,-1.153556e+00,1.550820e-01,6.807643e-01,1.357709e+01,3.839131e-01,-1.505518e+01,-1.226011e+00,-1.849451e+01,-8.764358e-01,-3.953495e+01,-4.335815e-01,-1.086164e+00,8.723651e+00,5.198288e-02,1.661518e-02,4.442997e-02,-3.687469e+00,-2.245567e+00,-4.235780e+00,-1.955189e+01,2.316602e+00,1.574803e+00,7.750000e-02,4.322904e-02,5.325000e-01,4.531211e-01,-3.058934e+01,senior,m,0.89,L
'devel_006',2.401723e+01,1.102215e-01,2.136038e+01,2.330145e+01,2.686062e+01,5.500242e+00,4.695705e+01,9.458061e+00,1.037628e+02,6.257405e+01,1.114533e+02,1.594664e-01,9.445033e+01,1.056528e+02,1.298414e+02,3.539112e+01,2.945716e+02,8.584358e+01,6.982940e+02,4.280284e+02,2.545365e-01,1.331579e+00,2.565608e-02,3.135504e-02,5.824212e-01,5.567651e-01,1.045100e+01,7.486377e+00,9.473187e+00,5.870417e+00,1.603306e-01,1.681950e+00,8.032804e+00,1.909431e+00,5.212684e+00,2.254748e+00,4.176117e+00,2.137913e+00,-1.272889e+01,-1.357328e+00,1.614764e-02,4.046710e-01,1.731576e+00,1.157598e+00,4.903162e+00,2.880976e-01,2.920753e+00,1.234706e+00,2.343291e+01,3.696144e-01,4.407858e+02,1.649917e-01,1.328016e+03,1.190522e-01,-1.644887e+02,-4.393444e-01,1.510508e+03,8.011913e-02,9.918549e+02,2.983359e-01,-1.685722e+02,-3.799525e-01,2.376213e+03,6.324256e-02,1.030004e+03,3.069731e-01,-1.678220e+02,-3.902448e-01,-1.726342e+01,-3.281403e-01,2.191762e+01,3.484314e-01,4.166476e-02,4.846480e-01,-1.824461e-02,-7.455687e-01,4.719400e-01,5.991452e-01,2.626846e+01,2.581809e-01,1.764128e+01,9.239656e-01,1.219079e+01,8.796975e-01,-3.831454e+01,-3.442225e-01,-3.343617e+00,9.674563e+00,3.477494e-02,1.900896e-02,9.641594e-02,4.466242e+00,2.533904e+00,2.485454e+00,-7.516358e+00,2.985075e+00,2.551021e+00,6.000000e-02,3.464102e-02,3.080000e-01,3.769562e-01,-2.069597e+01,adult,m,0.56,L
'devel_007',3.737942e+01,1.133434e-01,3.266864e+01,3.716985e+01,4.084250e+01,8.173855e+00,4.772557e+01,2.962912e+01,5.618468e+01,5.553316e+01,2.457412e+02,2.561896e-01,1.815013e+02,2.353808e+02,2.925623e+02,1.110610e+02,7.205356e+02,3.991713e+02,9.139069e+02,8.805785e+02,4.726880e-01,8.956112e-01,9.632491e-02,2.853472e-01,8.878582e-01,7.915333e-01,8.006700e+00,4.468295e+00,6.465494e+00,2.720134e+00,1.760371e-01,1.141830e+00,8.734973e+00,1.462108e+00,-1.672967e+01,-8.544217e-01,-1.432735e+01,-7.353528e-01,-1.937381e+01,-1.021006e+00,2.233703e-02,1.206988e+00,1.255570e+00,8.409624e-01,8.291635e+00,4.000655e-01,5.681551e+00,1.370592e+00,2.204796e+01,4.450349e-01,7.682681e+02,1.933645e-01,1.415636e+03,1.496319e-01,-9.829495e+01,-9.862442e-01,1.694423e+03,9.495123e-02,1.118201e+03,2.031442e-01,-9.935480e+01,-9.243270e-01,2.593912e+03,7.753797e-02,1.178045e+03,4.363396e-01,-1.030324e+02,-8.579163e-01,-1.053938e+01,-6.998646e-01,2.231329e+01,5.027396e-01,7.038769e-02,2.579249e-01,-1.857870e-02,-9.788916e-01,2.904528e-01,7.282861e-01,1.505035e+01,7.854223e-01,-1.726690e+01,-1.042652e+00,-1.607055e+01,-6.962500e-01,-2.690576e+01,-8.064740e-01,-7.077212e-01,1.101018e+01,6.794051e-02,7.172153e-03,5.354740e-02,1.506770e+00,-1.595068e+01,-1.124377e+01,-9.756081e+00,2.416919e+00,2.461539e+00,2.062500e-01,1.036747e-01,1.800000e-01,1.841195e-01,-2.057478e+01,senior,f,-0.51,NL
'devel_008',3.189594e+01,3.428895e-01,2.689844e+01,2.761395e+01,2.986522e+01,2.966782e+00,3.695030e+03,0.000000e+00,-4.898894e+01,4.242894e+01,2.325795e+02,1.063856e+00,1.300490e+02,1.355364e+02,1.543622e+02,2.431325e+01,1.050376e+03,0.000000e+00,-4.026681e+03,0.000000e+00,3.037069e-01,9.492520e-01,6.059782e-02,1.766541e-01,5.582319e-01,4.976341e-01,6.686033e+00,3.394699e+00,4.959700e+00,3.018309e+00,1.302546e-01,1.270526e+00,6.030750e+00,2.009808e+00,-9.220000e+00,-1.837270e+00,-1.178182e+01,-8.185285e-01,-2.075316e+01,-8.633661e-01,2.410033e-02,9.750206e-01,1.575112e+00,7.197012e-01,5.689890e+00,3.600792e-01,-3.174039e+00,-2.383186e+00,1.953456e+01,3.526692e-01,6.973315e+02,2.054152e-01,1.409666e+03,1.373050e-01,-1.585578e+02,-5.001027e-01,1.675328e+03,1.214404e-01,9.899029e+02,2.969290e-01,-1.572494e+02,-4.818884e-01,2.596566e+03,6.375634e-02,9.181506e+02,2.305986e-01,-1.573176e+02,-4.761969e-01,-1.377916e+01,-4.679250e-01,2.186242e+01,4.030094e-01,6.936315e-02,2.132832e-01,-1.880535e-02,-8.770202e-01,2.873250e-01,7.371989e-01,1.649218e+01,6.413741e-01,-9.352261e-01,-2.317698e+01,-1.636610e+01,-5.229661e-01,-3.000442e+01,-5.993400e-01,-5.058489e+00,1.232134e+01,6.404863e-02,1.742493e-03,8.800554e-02,3.174596e+00,-1.133745e+01,-1.048892e+01,-1.838380e+01,3.314917e+00,2.240896e+00,8.875000e-02,7.912608e-02,2.988889e-01,2.380683e-01,-2.419950e+01,senior,m,-0.35,NL
'devel_009',3.564792e+01,1.194253e-01,3.026458e+01,3.575245e+01,3.915981e+01,8.895227e+00,3.798297e+01,1.348285e+01,3.007065e+01,1.624011e+01,2.221891e+02,2.449584e-01,1.579653e+02,2.168777e+02,2.640523e+02,1.060870e+02,4.595424e+02,2.470691e+02,6.404301e+02,1.925494e+02,5.249419e-01,1.069655e+00,5.816648e-02,2.237207e-01,1.187997e+00,1.129830e+00,8.875021e+00,3.331561e+00,6.682846e+00,2.987040e+00,2.258682e-01,1.422391e+00,-1.078899e-01,-8.854032e+01,-1.907366e+01,-6.961426e-01,-2.148092e+01,-5.838641e-01,-2.110942e+01,-4.516779e-01,3.342951e-02,1.130108e+00,1.436566e+00,9.494153e-01,8.158183e+00,3.796374e-01,4.903795e+00,1.448359e+00,2.437197e+01,2.402181e-01,7.978531e+02,1.754424e-01,1.433505e+03,1.655884e-01,-1.241983e+02,-8.003368e-01,1.630153e+03,1.006701e-01,1.160526e+03,1.124599e-01,-1.250504e+02,-7.677593e-01,2.626627e+03,5.327378e-02,8.891987e+02,1.994101e-01,-1.291101e+02,-7.013849e-01,-8.805844e+00,-7.071602e-01,2.440548e+01,2.214717e-01,1.063773e-01,2.005857e-01,-1.634277e-02,-8.690223e-01,4.216887e-01,5.862234e-01,9.209104e+00,8.898506e-01,-2.944496e+01,-3.365827e-01,-3.207594e+01,-3.732831e-01,-2.570913e+01,-4.006643e-01,6.400381e-02,6.929306e+00,7.227113e-02,1.469120e-02,1.168585e-01,-5.384885e+00,-1.323633e+01,-1.551882e+01,-1.869888e+01,2.068966e+00,1.754386e+00,2.020000e-01,1.560000e-01,2.883333e-01,3.299705e-01,-1.881163e+01,adult,f,-0.48,NL
