@relation GenevaExtended_2014_Acoustic_Parameters_Functionals_personality-likeability.TestFilter-weka.filters.unsupervised.attribute.Remove-R106

@attribute name string
@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute F0linearHz_sma3nz_amean numeric
@attribute F0linearHz_sma3nz_stddevNorm numeric
@attribute F0linearHz_sma3nz_percentile20.0 numeric
@attribute F0linearHz_sma3nz_percentile50.0 numeric
@attribute F0linearHz_sma3nz_percentile80.0 numeric
@attribute F0linearHz_sma3nz_pctlrange0-2 numeric
@attribute F0linearHz_sma3nz_meanRisingSlope numeric
@attribute F0linearHz_sma3nz_stddevRisingSlope numeric
@attribute F0linearHz_sma3nz_meanFallingSlope numeric
@attribute F0linearHz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute mfcc1UV_sma3nz_amean numeric
@attribute mfcc2UV_sma3nz_amean numeric
@attribute mfcc3UV_sma3nz_amean numeric
@attribute mfcc4UV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute age {youth,adult,senior}
@attribute gender {m,f}
@attribute likeability {L,NL}

@data
devel_003,26.53678,0.339019,22.44727,24.48083,26.21541,3.768145,46.0527,0,-29.88449,0,159.7879,1.083911,100.5801,113.102,125.0313,24.4512,916.9905,0,-1316.506,0,0.382274,1.194132,0.034033,0.160358,0.879045,0.845012,7.132298,4.687912,8.499329,4.756953,0.158239,1.274521,13.10026,1.121839,-3.366146,-4.544955,-14.61315,-0.885149,-5.763513,-2.102033,0.02926,1.236344,1.838474,1.034463,4.288639,0.429217,-2.568669,-1.097824,18.91362,0.729003,686.1232,0.23994,1443.579,0.179748,-146.6042,-0.597033,1492.745,0.10337,1104.458,0.209355,-145.5057,-0.589275,2573.712,0.056776,816.3585,0.377004,-149.1917,-0.534814,-7.463634,-1.769309,23.15783,0.734718,0.066298,0.228765,-0.0215,-0.889341,0.33855,0.452136,23.67737,0.713924,-10.42,-1.802805,-23.87314,-0.767833,-1.171232,-10.25369,-4.819177,12.93175,0.067713,0.006597,0.094943,9.243727,-0.675002,-11.23964,-7.347023,3,2.372881,0.105714,0.047766,0.2575,0.351524,-21.09177,youth,m,L
devel_004,25.57161,0.047465,24.46531,25.39558,26.57012,2.104805,80.44103,0,-0.088462,12.49924,120.762,0.07217,113.0122,119.2392,127.6058,14.59354,588.0945,0,-6.958454,87.43187,0.163844,1.104932,0.05024,0.055858,0.255456,0.205216,6.314915,4.942311,4.547842,1.957262,0.053824,1.536835,11.0681,0.98656,-10.85879,-0.728527,-11.18376,-0.91428,-15.29661,-0.882867,0.022039,0.691281,2.261487,0.810826,4.565334,0.460488,-3.588346,-0.722236,27.03238,0.234368,571.0823,0.28531,1557.672,0.119891,-160.6548,-0.501898,1457.397,0.103463,1112.228,0.163142,-161.8855,-0.476697,2513.88,0.050377,877.1594,0.1502,-164.5144,-0.43783,-13.65625,-0.289168,29.4543,0.155141,0.090502,0.143092,-0.016301,-0.78844,0.150149,0.73802,27.07406,0.171406,-14.40128,-0.77677,-11.51711,-1.110967,-26.59181,-0.5495,-4.53309,13.93612,0.064261,0.007078,0.033128,7.484766,-10.0254,-11.22729,-12.78115,3.49345,1.785714,0.095,0.033541,0.354,0.473607,-30.96611,youth,m,L
devel_016,24.36656,0.057969,23.31764,24.15452,25.87136,2.553724,19.9396,6.834822,43.86509,32.48026,112.7366,0.083217,105.7507,110.9939,122.564,16.81326,132.849,49.64288,310.2545,237.9282,0.140655,0.968334,0.052067,0.074402,0.200836,0.148768,3.598234,3.265725,4.05884,2.64798,0.04,1.437913,13.28256,0.66519,0.385435,35.74265,1.672609,5.705363,-25.95335,-0.810063,0.017151,0.714317,1.820196,0.855789,3.948812,0.452028,-0.046514,-66.55186,18.34223,0.548405,511.7663,0.259827,1468.574,0.109864,-139.6147,-0.669518,1542.121,0.089087,1078.293,0.154186,-142.8508,-0.619938,2472.887,0.047534,1068.074,0.360615,-143.8917,-0.605784,-11.40147,-0.759457,19.76447,0.47494,0.085278,0.176213,-0.010009,-1.207824,0.07311,0.656207,20.87481,0.33553,-0.812349,-23.88618,5.999636,1.986703,-47.36002,-0.43203,-6.415327,13.5896,0.052097,0.008564,0.028436,10.32852,0.686237,-0.041347,-17.98778,3.614458,2.459016,0.103333,0.087686,0.241429,0.245847,-34.75937,youth,m,L
devel_028,36.25883,0.131605,33.83796,35.55753,36.73866,2.9007,32.60215,17.57045,99.08422,86.53559,236.3686,0.500044,194.2579,214.4719,229.5905,35.33258,376.6385,0,461.856,421.9849,0.237636,1.167243,0.039245,0.080247,0.540761,0.501517,4.288843,1.82607,3.693612,1.67545,0.104896,1.360231,9.016852,1.653094,-11.60761,-1.999176,-16.74746,-1.116597,-15.53804,-1.185047,0.025715,0.926437,1.522382,0.813642,8.380096,0.373629,-2.878559,-4.428679,26.10157,0.529854,779.5843,0.182464,1265.821,0.162027,-115.0466,-0.858751,1714.36,0.101667,963.0303,0.217489,-117.8234,-0.782571,2803.059,0.054588,783.3846,0.299014,-123.2758,-0.693332,-16.4128,-0.758441,31.54796,0.468255,0.081076,0.296365,-0.021536,-0.950403,0.192858,0.761151,19.34736,0.665219,-18.54274,-1.592528,-29.36539,-0.57504,-20.1597,-1.082666,-3.080573,10.23792,0.053931,0.011173,0.042337,1.802186,-6.542598,-7.689045,-12.4508,2.047782,2.430556,0.168571,0.073568,0.19375,0.330225,-24.99356,youth,m,NL
devel_051,26.79432,0.170716,22.36322,26.32514,28.54083,6.17761,52.68835,30.86307,304.0875,216.8703,134.9498,0.332034,100.077,125.8165,143.0041,42.9271,566.7532,391.3977,3404.201,2705.405,0.334977,1.245099,0.055493,0.182286,0.444044,0.388551,12.08295,13.25495,6.658522,5.099771,0.166977,1.810524,6.928686,1.677451,-16.5179,-0.940211,-10.30483,-1.064253,-16.71891,-0.990563,0.039172,1.63435,2.304887,0.720608,4.27325,0.643588,-1.978727,-3.502408,15.94293,0.55084,661.8436,0.314024,1581.688,0.170728,-160.804,-0.499522,1568.35,0.101424,1167.78,0.231439,-162.4375,-0.471036,2434.698,0.069161,1011.875,0.180646,-162.644,-0.468183,-12.53271,-0.558016,22.04535,0.336716,0.082347,0.219953,-0.014903,-0.584507,0.3393,0.807937,17.21809,0.465223,-9.311061,-2.49945,-7.087768,-1.814613,-33.93022,-0.590062,-4.127646,14.45135,0.06237,0.006528,0.131733,4.751298,-18.26976,-11.02259,-12.98954,1.980198,1.677852,0.102,0.050359,0.393333,0.428667,-21.36395,youth,m,L
devel_058,25.28473,0.135884,23.27822,24.19428,26.3885,3.110285,311.4776,218.2117,11.16428,0,121.4838,0.287926,105.5107,111.2422,126.2979,20.78718,6348.516,0,43.57048,0,0.3732,1.222922,0.040577,0.154621,0.684277,0.6437,12.28626,6.57355,11.73665,6.660564,0.198686,1.493447,6.530016,1.890582,-16.98499,-0.71923,-5.692377,-2.126225,-16.66185,-1.047941,0.032507,0.938789,2.644772,0.659834,3.524587,0.468852,-6.946059,-0.498943,16.58956,0.373139,625.4153,0.331316,1594.558,0.171354,-138.5539,-0.675664,1481.512,0.095193,1218.894,0.237211,-138.0896,-0.668493,2523.005,0.078085,991.0959,0.379009,-142.1996,-0.605998,-8.944062,-0.665107,26.46536,0.249496,0.090268,0.135635,-0.010369,-1.278922,0.490952,0.669427,19.4693,0.305386,-24.79952,-0.566983,-14.48107,-0.86982,-30.03316,-0.542578,-0.270218,13.26678,0.060475,0.021317,0.088637,1.640145,-13.90655,-2.09302,-11.64085,3.23741,3.296703,0.076667,0.045947,0.185,0.176309,-20.54368,youth,m,NL
devel_060,29.20503,0.048339,27.59235,29.585,30.37853,2.786182,18.97813,7.111785,20.49297,5.810797,149.0882,0.082301,135.368,151.8788,159.0308,23.66283,173.6381,65.99284,187.5657,57.97458,0.325956,1.361091,0.039228,0.11559,0.499662,0.460433,10.01438,5.36307,14.19112,9.033373,0.160729,1.667873,0.834198,17.1434,-12.07064,-1.09935,0.879716,11.79609,-25.44221,-0.985538,0.021371,0.871264,2.001641,0.774991,4.833351,0.483904,-1.183814,-4.682189,15.75896,0.533446,646.4472,0.365015,1507.002,0.106135,-138.2675,-0.69456,1609.709,0.097341,1222.005,0.201812,-138.7344,-0.676902,2458.788,0.056291,1177.447,0.376945,-140.186,-0.652876,-7.881815,-1.05258,19.60796,0.407799,0.084285,0.183852,-0.013358,-1.083127,0.443812,0.774458,15.05484,0.584278,-18.55863,-1.113525,4.109937,1.794509,-54.39818,-0.367174,1.38196,7.865316,0.03481,0.018543,0.049677,-4.718293,-9.428024,-0.19788,-14.20384,3.404255,1.73913,0.1575,0.087285,0.316,0.389646,-22.2433,youth,m,L
devel_071,26.49966,0.05376,25.41387,26.05063,27.70023,2.286362,15.68033,2.921679,13.3962,16.46234,127.5263,0.084045,119.3623,123.8445,136.2131,16.85085,121.2108,15.06977,108.1505,126.2226,0.296189,1.283475,0.065385,0.096257,0.488894,0.423509,3.134741,1.112896,9.517935,9.327931,0.101544,1.807634,6.044826,1.665455,-12.63547,-0.762489,6.236775,1.600052,-33.14098,-0.678867,0.02154,0.893886,1.31633,0.941504,6.589523,0.249112,-3.647216,-0.947771,15.48032,0.355366,511.2408,0.330576,1474.746,0.087469,-132.6854,-0.764647,1526.448,0.091984,1097.288,0.189225,-137.4053,-0.68606,2399.002,0.058124,1010.427,0.201646,-136.875,-0.694742,-13.20971,-0.239233,19.01299,0.278805,0.098059,0.129593,-0.018861,-0.486149,0.236331,0.796495,18.1446,0.294459,-4.546044,-2.032287,3.252085,3.182512,-59.1611,-0.230503,1.994363,9.439267,0.064266,0.023985,0.047244,0.931897,-15.96995,7.601399,-22.30933,1.185771,1.209677,0.24,0.066833,0.4225,0.386224,-21.14282,youth,m,L
devel_072,33.69941,0.378783,26.68383,27.53272,35.73959,9.055761,68.77521,0,-7.476616,0,274.364,1.02508,128.4556,134.9013,288.7359,160.2803,1555.256,0,-361.9087,0,0.303299,1.21999,0.055172,0.143716,0.441018,0.385846,7.426592,4.786073,5.726907,3.59253,0.099029,1.53103,4.046161,3.822806,-15.55952,-0.868978,-6.073475,-1.534023,-15.31083,-0.718543,0.026175,0.960015,1.442345,0.795426,3.903338,0.590024,-4.700687,-1.383202,13.18621,1.130927,752.5443,0.253716,1454.91,0.212477,-153.227,-0.570254,1662.675,0.125712,1220.753,0.140445,-146.2909,-0.61445,2503.939,0.095565,1067.326,0.168116,-148.3841,-0.584155,0.003873,4241.322,15.88692,1.006729,0.075131,0.260473,-0.001478,-15.33431,0.279748,0.670575,7.786155,3.037486,-18.39486,-1.312433,-6.435553,-1.73571,-17.01116,-0.802563,-1.431008,11.95544,0.065855,0.012293,0.039134,2.785513,-14.69008,-6.25155,-15.00628,2.752294,1.408451,0.173333,0.077172,0.385,0.484381,-24.87234,youth,m,L
devel_073,26.49714,0.101557,24.39928,26.03238,27.81876,3.419481,94.99479,109.3804,17.01271,12.80069,128.9969,0.187871,112.5728,123.7137,137.1494,24.57655,851.6913,1013.765,116.7904,85.02722,0.531601,1.28635,0.044641,0.162065,1.018326,0.973686,13.66926,8.091816,17.06294,10.41473,0.236079,1.351893,8.202858,0.79158,-8.08543,-1.426577,-4.360672,-1.900689,-26.4098,-0.673924,0.026396,0.76197,1.95957,0.711203,3.85735,0.508575,-1.363844,-3.06872,12.53129,0.641832,637.8496,0.345613,1617.055,0.150902,-136.9418,-0.70138,1495.861,0.104405,1324.857,0.303228,-136.6629,-0.696442,2369.678,0.070045,1044.811,0.298572,-138.1985,-0.67147,-8.12222,-0.529554,15.90803,0.336994,0.092982,0.159383,-0.017175,-0.73497,0.587152,0.505289,10.13618,0.519185,-16.45812,-0.731472,-9.783603,-0.789303,-42.85597,-0.351914,-5.559798,13.05726,0.076183,0.01111,0.096576,7.517033,-4.554617,-2.261502,-19.93873,3.344482,2.380953,0.114286,0.096933,0.24875,0.315414,-17.77291,youth,m,NL
