@relation 'GenevaExtended_2014_Acoustic_Parameters_Functionals_over_full_input: -C 0'

@attribute name string
@attribute F0semitoneFrom27.5Hz_sma3nz_amean numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevNorm numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile20.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile50.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_percentile80.0 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2 numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope numeric
@attribute F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope numeric
@attribute F0linearHz_sma3nz_amean numeric
@attribute F0linearHz_sma3nz_stddevNorm numeric
@attribute F0linearHz_sma3nz_percentile20.0 numeric
@attribute F0linearHz_sma3nz_percentile50.0 numeric
@attribute F0linearHz_sma3nz_percentile80.0 numeric
@attribute F0linearHz_sma3nz_pctlrange0-2 numeric
@attribute F0linearHz_sma3nz_meanRisingSlope numeric
@attribute F0linearHz_sma3nz_stddevRisingSlope numeric
@attribute F0linearHz_sma3nz_meanFallingSlope numeric
@attribute F0linearHz_sma3nz_stddevFallingSlope numeric
@attribute loudness_sma3_amean numeric
@attribute loudness_sma3_stddevNorm numeric
@attribute loudness_sma3_percentile20.0 numeric
@attribute loudness_sma3_percentile50.0 numeric
@attribute loudness_sma3_percentile80.0 numeric
@attribute loudness_sma3_pctlrange0-2 numeric
@attribute loudness_sma3_meanRisingSlope numeric
@attribute loudness_sma3_stddevRisingSlope numeric
@attribute loudness_sma3_meanFallingSlope numeric
@attribute loudness_sma3_stddevFallingSlope numeric
@attribute spectralFlux_sma3_amean numeric
@attribute spectralFlux_sma3_stddevNorm numeric
@attribute mfcc1_sma3_amean numeric
@attribute mfcc1_sma3_stddevNorm numeric
@attribute mfcc2_sma3_amean numeric
@attribute mfcc2_sma3_stddevNorm numeric
@attribute mfcc3_sma3_amean numeric
@attribute mfcc3_sma3_stddevNorm numeric
@attribute mfcc4_sma3_amean numeric
@attribute mfcc4_sma3_stddevNorm numeric
@attribute jitterLocal_sma3nz_amean numeric
@attribute jitterLocal_sma3nz_stddevNorm numeric
@attribute shimmerLocaldB_sma3nz_amean numeric
@attribute shimmerLocaldB_sma3nz_stddevNorm numeric
@attribute HNRdBACF_sma3nz_amean numeric
@attribute HNRdBACF_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-H2_sma3nz_amean numeric
@attribute logRelF0-H1-H2_sma3nz_stddevNorm numeric
@attribute logRelF0-H1-A3_sma3nz_amean numeric
@attribute logRelF0-H1-A3_sma3nz_stddevNorm numeric
@attribute F1frequency_sma3nz_amean numeric
@attribute F1frequency_sma3nz_stddevNorm numeric
@attribute F1bandwidth_sma3nz_amean numeric
@attribute F1bandwidth_sma3nz_stddevNorm numeric
@attribute F1amplitudeLogRelF0_sma3nz_amean numeric
@attribute F1amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F2frequency_sma3nz_amean numeric
@attribute F2frequency_sma3nz_stddevNorm numeric
@attribute F2bandwidth_sma3nz_amean numeric
@attribute F2bandwidth_sma3nz_stddevNorm numeric
@attribute F2amplitudeLogRelF0_sma3nz_amean numeric
@attribute F2amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute F3frequency_sma3nz_amean numeric
@attribute F3frequency_sma3nz_stddevNorm numeric
@attribute F3bandwidth_sma3nz_amean numeric
@attribute F3bandwidth_sma3nz_stddevNorm numeric
@attribute F3amplitudeLogRelF0_sma3nz_amean numeric
@attribute F3amplitudeLogRelF0_sma3nz_stddevNorm numeric
@attribute alphaRatioV_sma3nz_amean numeric
@attribute alphaRatioV_sma3nz_stddevNorm numeric
@attribute hammarbergIndexV_sma3nz_amean numeric
@attribute hammarbergIndexV_sma3nz_stddevNorm numeric
@attribute slopeV0-500_sma3nz_amean numeric
@attribute slopeV0-500_sma3nz_stddevNorm numeric
@attribute slopeV500-1500_sma3nz_amean numeric
@attribute slopeV500-1500_sma3nz_stddevNorm numeric
@attribute spectralFluxV_sma3nz_amean numeric
@attribute spectralFluxV_sma3nz_stddevNorm numeric
@attribute mfcc1V_sma3nz_amean numeric
@attribute mfcc1V_sma3nz_stddevNorm numeric
@attribute mfcc2V_sma3nz_amean numeric
@attribute mfcc2V_sma3nz_stddevNorm numeric
@attribute mfcc3V_sma3nz_amean numeric
@attribute mfcc3V_sma3nz_stddevNorm numeric
@attribute mfcc4V_sma3nz_amean numeric
@attribute mfcc4V_sma3nz_stddevNorm numeric
@attribute alphaRatioUV_sma3nz_amean numeric
@attribute hammarbergIndexUV_sma3nz_amean numeric
@attribute slopeUV0-500_sma3nz_amean numeric
@attribute slopeUV500-1500_sma3nz_amean numeric
@attribute spectralFluxUV_sma3nz_amean numeric
@attribute mfcc1UV_sma3nz_amean numeric
@attribute mfcc2UV_sma3nz_amean numeric
@attribute mfcc3UV_sma3nz_amean numeric
@attribute mfcc4UV_sma3nz_amean numeric
@attribute loudnessPeaksPerSec numeric
@attribute VoicedSegmentsPerSec numeric
@attribute MeanVoicedSegmentLengthSec numeric
@attribute StddevVoicedSegmentLengthSec numeric
@attribute MeanUnvoicedSegmentLength numeric
@attribute StddevUnvoicedSegmentLength numeric
@attribute equivalentSoundLevel_dBp numeric
@attribute Speaker_ID {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,207,208,210,211,212,213,214,215,216,217,218,219,220,222,223,224,225,226,227,228,229,230}
@attribute Gender {m,f}
@attribute Extraversion {E,NE}
@attribute Agreeableness {A,NA}
@attribute Conscientiousness {C,NC}
@attribute Neuroticism {N,NN}
@attribute Openness {O,NO}

@data
devel_001,30.22549,0.144448,26.53867,29.11203,32.84075,6.302078,279.2823,433.8087,36.97549,38.11193,163.2136,0.288575,127.3766,147.814,183.304,55.92738,3518.033,5619.564,420.1028,479.0617,0.535933,0.651612,0.218543,0.463087,0.862694,0.644151,9.947021,5.623319,7.571545,3.525421,0.19908,0.811093,4.341183,2.987976,-0.649519,-25.21204,-5.217539,-3.130623,-32.03783,-0.504193,0.032299,1.26967,1.508825,0.866478,5.337312,0.524487,4.14764,2.007217,14.99696,0.466048,718.5548,0.321179,1499.108,0.206239,-90.84249,-1.049491,1656.088,0.135112,1106.448,0.302835,-91.02413,-0.995451,2556.353,0.065467,980.8916,0.318476,-89.67109,-1.02213,-8.283956,-0.658507,14.08057,0.446929,0.080474,0.245867,-0.013423,-1.238235,0.257928,0.615322,9.158303,0.827882,1.278291,12.81735,-8.629308,-1.991107,-38.03293,-0.392205,0.01712,7.017052,0.05443,0.008888,0.126239,-1.61331,-2.921243,-0.75723,-24.28928,5.405406,3.923541,0.133077,0.08893,0.106757,0.084886,-22.53823,166,m,E,A,NC,NN,NO
devel_002,30.15136,0.119665,26.65627,29.61119,33.37601,6.719744,71.73385,52.50294,23.95015,16.8261,160.5033,0.218713,128.2531,152.1209,189.0764,60.82333,644.8661,462.9233,249.7954,201.03,0.501667,0.654899,0.180014,0.466551,0.76436,0.584346,10.03973,5.26909,8.704243,5.353362,0.194569,0.775495,12.44395,1.083866,8.908064,1.643363,-7.229661,-2.835237,-3.511926,-4.364523,0.041172,1.755269,1.52551,0.891964,5.900182,0.414453,6.199968,1.34333,21.54128,0.45274,583.908,0.338782,1504.567,0.179635,-95.6971,-0.960442,1499.401,0.140378,1065.399,0.243999,-98.9365,-0.870583,2559.483,0.063807,784.1656,0.367819,-100.1143,-0.849966,-12.16243,-0.581929,19.3815,0.407903,0.055411,0.454909,-0.012527,-1.710676,0.248238,0.59114,17.7051,0.555077,10.29414,1.451559,-13.60973,-1.692884,-5.487843,-3.003583,-4.706876,12.67695,0.023942,0.007214,0.130042,5.978658,7.094416,0.575588,-0.773448,5.305305,3.427419,0.151765,0.145592,0.123333,0.128716,-22.75141,148,m,E,NA,NC,NN,NO
devel_003,28.21599,0.126672,25.17125,27.67003,31.5676,6.396355,126.2943,127.3661,43.5252,44.64425,143.4047,0.210544,117.7084,135.9759,170.434,52.72555,1112.854,1251.797,391.6675,430.9416,0.616709,0.601704,0.26623,0.575936,0.936776,0.670546,10.74948,6.685556,9.277389,3.842514,0.241569,0.800796,3.986545,3.306663,6.134131,1.880306,-2.837464,-4.316648,-20.01262,-0.726839,0.034311,0.992071,1.78722,0.795612,5.056873,0.463756,5.343028,1.764177,17.74774,0.352227,675.7122,0.350966,1472.967,0.215299,-126.526,-0.725152,1640.872,0.139952,1131.294,0.401104,-125.3677,-0.707601,2542.198,0.07357,988.576,0.35858,-124.8703,-0.714767,-9.992574,-0.548238,15.56476,0.393188,0.063578,0.324605,-0.011702,-1.289588,0.316113,0.602297,12.51457,0.626424,8.706597,1.378621,-2.445578,-6.358829,-28.34152,-0.455056,0.348738,5.777629,0.043679,0.003625,0.195073,-1.699126,4.450047,-3.057841,-14.46166,5.105105,3.021148,0.120333,0.07808,0.196897,0.221081,-21.59675,181,m,E,NA,C,N,NO
devel_004,27.671,0.37685,22.18,24.4021,26.15295,3.97295,350.0236,299.4299,401.1843,730.9033,179.727,1.102031,99.02942,112.6085,124.5674,25.53799,5021.413,5192.309,6695.191,10684.32,0.438793,0.685768,0.138641,0.385599,0.724936,0.586295,7.280057,4.136222,7.404401,4.511637,0.174424,0.971404,1.506654,10.05066,-11.45532,-1.523194,-1.406833,-11.37028,-42.7914,-0.45569,0.027895,1.094808,1.952547,0.687433,4.156944,0.39161,-6.981738,-1.642597,9.168841,1.421248,667.2042,0.387986,1425.459,0.237607,-117.4335,-0.910378,1624.342,0.152747,1159.75,0.374193,-114.8582,-0.895867,2512.538,0.076501,986.6786,0.357757,-116.3755,-0.867956,-8.318139,-1.417051,19.51175,0.475461,0.107689,0.22157,-0.00606,-3.900387,0.232925,0.714728,11.14457,1.156827,-11.16354,-1.512593,-5.525826,-3.132627,-49.85939,-0.377387,2.483267,8.029475,0.079232,0.013806,0.1375,-4.654064,-11.76887,1.233796,-38.37502,4.804805,2.917505,0.122414,0.13863,0.199655,0.200284,-23.0284,197,m,NE,A,NC,N,NO
devel_005,23.24127,0.072984,21.75359,23.23764,24.40688,2.653284,102.1558,133.5804,22.89088,22.99994,105.8034,0.10077,96.61661,105.2628,112.6177,16.00105,640.149,858.1072,140.6767,135.5618,0.325371,0.560998,0.176444,0.295969,0.464747,0.288303,5.899631,3.07867,5.323166,3.239767,0.110392,0.740801,20.59124,0.832898,11.79583,1.152441,2.073359,7.500462,-11.69687,-1.032002,0.023831,0.976209,1.136599,1.074524,5.513426,0.277365,-0.237226,-19.09517,28.65177,0.290527,483.2133,0.254408,1367.867,0.130156,-112.3211,-0.835206,1471.943,0.150328,972.4369,0.212156,-120.3137,-0.705773,2494.15,0.063257,868.4237,0.342839,-122.8877,-0.668347,-21.49727,-0.318729,29.20475,0.2589,0.026836,0.762292,-0.018494,-1.091044,0.108213,0.655937,32.43397,0.281259,17.85046,0.711058,2.883464,6.385249,-16.28685,-0.681903,-6.68892,14.80757,0.02346,0.000292,0.113318,10.84764,6.777036,1.437477,-8.016602,5.192108,2.400835,0.178696,0.172962,0.208333,0.144501,-26.96216,189,m,NE,A,NC,NN,NO
devel_006,28.53146,0.196488,24.44204,27.28079,31.74249,7.300449,275.6266,464.4474,133.212,149.9638,152.1923,0.416264,112.8464,132.9794,172.0375,59.19109,3771.475,6213.103,1663.892,1996.948,0.61795,0.527052,0.289427,0.572883,0.903431,0.614004,9.69179,6.583069,7.018145,4.713804,0.285915,0.747357,10.19065,1.334779,-9.629798,-1.496686,-10.91943,-1.367343,-40.55548,-0.327482,0.031429,1.713535,1.393542,0.832725,6.059538,0.438208,-3.497948,-2.348369,20.06768,0.623884,723.5732,0.306956,1420.905,0.170395,-108.9693,-0.963668,1671.519,0.143994,1205.708,0.311868,-109.2435,-0.902468,2561.84,0.080047,951.4008,0.355076,-111.1803,-0.865147,-15.57645,-0.519864,25.43704,0.357141,0.106401,0.147274,-0.022728,-0.982422,0.352484,0.614306,17.91325,0.548829,-10.778,-1.380712,-16.67501,-1.032636,-45.70082,-0.243297,-5.445533,14.87348,0.094022,0.001664,0.2339,4.315675,-9.061645,-6.530211,-36.50798,4.404405,3.121853,0.130323,0.125454,0.169355,0.234217,-19.20916,178,m,NE,A,NC,NN,NO
devel_007,26.02421,0.109712,23.68091,24.93565,29.10664,5.425735,90.1825,86.44271,25.07017,15.66739,125.4187,0.175275,107.9917,116.1128,147.7441,39.75237,699.6703,657.6005,182.2875,138.2781,0.545852,0.493454,0.310984,0.522608,0.79294,0.481956,8.161269,4.063726,7.679156,3.532073,0.198028,0.603417,14.15611,1.090286,17.79484,0.794789,5.778654,2.581701,-2.487415,-4.681756,0.033405,0.990656,1.440236,0.929873,6.257637,0.347898,5.545922,1.184144,24.79733,0.322995,507.1841,0.34471,1351.659,0.16601,-90.10376,-0.992848,1479.29,0.133672,1058.191,0.328202,-98.05624,-0.840596,2454.762,0.063117,873.6619,0.282488,-99.53796,-0.813763,-16.33415,-0.431036,23.23755,0.351,0.019717,1.180552,-0.008644,-2.151573,0.222624,0.524798,22.57814,0.416369,22.01917,0.598678,6.461067,2.541051,-4.816949,-2.41555,-3.039678,9.835803,0.013372,0.010177,0.166674,2.595335,12.16942,5.297888,0.350594,6.006006,3.423968,0.159412,0.121702,0.112647,0.094193,-21.23589,208,m,E,NA,C,N,O
devel_008,35.82979,0.074926,33.65807,35.73442,37.83167,4.173592,57.21584,59.60601,20.67089,9.015143,220.5512,0.159613,192.1732,216.6509,244.5708,52.39754,601.2102,576.5244,308.6902,188.8491,0.544771,0.58724,0.263752,0.510928,0.822298,0.558546,8.735168,4.078311,8.478968,3.039889,0.216493,0.633892,13.03692,0.950756,6.357379,2.254543,-3.563432,-3.801436,-13.44068,-1.245919,0.027683,1.104003,1.196924,1.032284,9.923992,0.228725,13.87552,0.713599,23.15048,0.363756,649.7645,0.28177,1396.034,0.148632,-89.27242,-0.972967,1622.39,0.127545,1036.377,0.26728,-88.17611,-0.916253,2602.239,0.068982,900.6071,0.30867,-91.40509,-0.856289,-14.53212,-0.557292,23.00147,0.400942,0.064059,0.324981,-0.007111,-1.972622,0.259713,0.49636,16.43715,0.601776,5.157395,2.980598,-7.599422,-1.830229,-17.9517,-0.936199,-6.719886,14.24339,0.026897,0.009129,0.14287,6.914192,8.389849,3.731191,-5.65776,6.106106,3.021148,0.201,0.19255,0.117143,0.087662,-20.15679,186,f,E,A,C,N,O
devel_009,30.4202,0.073191,28.44073,30.06087,32.66967,4.228937,68.71778,117.8777,74.03596,140.6667,160.7424,0.132332,142.1652,156.1117,181.5009,39.33563,668.8772,1140.749,715.9998,1351.091,0.567543,0.510343,0.301959,0.553395,0.796947,0.494988,11.07254,5.91699,8.39229,5.564065,0.272666,0.808079,17.61955,0.5992,6.796615,2.153188,2.171968,4.101865,-26.20872,-0.628395,0.023511,1.196374,1.436075,0.999193,7.476076,0.292512,4.254951,1.518646,22.45563,0.254531,644.3288,0.205049,1392.397,0.134518,-120.3452,-0.749184,1676.759,0.121533,1007.756,0.314599,-125.0445,-0.67387,2566.24,0.056243,1072.528,0.299903,-125.0597,-0.673003,-14.25846,-0.319515,20.49381,0.351037,0.054572,0.328136,-0.026251,-0.402487,0.344782,0.708737,23.79363,0.285262,6.91853,2.665264,-0.939165,-9.145349,-34.73867,-0.502538,-8.042865,13.12499,0.025009,-0.009402,0.221245,13.12469,6.646946,4.49525,-19.84126,5.805806,3.323263,0.116061,0.128769,0.164849,0.181961,-20.59923,153,f,NE,A,NC,NN,O
devel_010,32.8418,0.08428,30.88965,32.71707,34.76189,3.872238,206.7303,249.2774,34.90269,27.43818,185.7591,0.164002,163.7906,182.1246,204.8451,41.05443,2324.694,2802.854,383.7731,331.6971,0.423869,0.516747,0.211606,0.421077,0.630391,0.418785,6.322677,3.098395,5.721959,2.899617,0.186742,0.709164,15.81254,0.802746,14.9345,0.878346,-7.107983,-2.289318,-12.89223,-1.03579,0.029283,1.074401,1.36563,0.934824,8.405503,0.312735,11.74603,0.842147,27.78138,0.26127,582.2363,0.354643,1372.156,0.173503,-89.78435,-0.987373,1575.875,0.16829,1063.387,0.287436,-97.36283,-0.817622,2543.183,0.075781,853.2617,0.25942,-98.28061,-0.800721,-17.58172,-0.413002,24.61909,0.309971,0.056275,0.390391,-0.014021,-1.237664,0.221014,0.583439,20.94497,0.423924,18.48956,0.733803,-9.742797,-1.83746,-15.80072,-0.8626,-6.842817,13.58819,0.037955,0.001011,0.136457,8.240789,9.841731,-2.990776,-8.576629,5.705706,3.524673,0.159714,0.155149,0.106177,0.092514,-21.90818,150,m,E,A,C,NN,O
